seed,model_variant,threshold_min,group,n_clinical_R1,n_geo_realizations,n_unique_origins,fnr,C,J,J_ind,E,D,joint_event_count,constrained_event_count
44,reweighing,90.0,ALL,42,4200,3947,0.2857142857142857,0.0030952380952380953,0.0009523809523809524,0.0008843537414965987,6.802721088435373e-05,0.022046260403079165,4,13
44,post_processing,30.0,0,10,1000,987,0.2,0.152,0.028,0.0304,-0.0023999999999999994,-0.01861966236345583,28,152
44,post_processing,30.0,1,32,3200,3043,0.34375,0.1459375,0.055625,0.050166015625,0.005458984375000003,0.04379810250009597,178,467
44,post_processing,30.0,ALL,42,4200,3947,0.30952380952380953,0.1473809523809524,0.04904761904761905,0.04561791383219955,0.0034297052154195,0.02729357373934138,206,619
44,post_processing,45.0,0,10,1000,987,0.2,0.064,0.014,0.0128,0.0011999999999999997,0.020032051282051294,14,64
44,post_processing,45.0,1,32,3200,3043,0.34375,0.050625,0.018125,0.01740234375,0.0007226562499999985,0.015035882931428213,58,162
44,post_processing,45.0,ALL,42,4200,3947,0.30952380952380953,0.05380952380952381,0.017142857142857144,0.01665532879818594,0.00048752834467120226,0.009575515184985561,72,226
44,post_processing,60.0,0,10,1000,987,0.2,0.028,0.007,0.005600000000000001,0.0013999999999999993,0.051440329218106984,7,28
44,post_processing,60.0,1,32,3200,3043,0.34375,0.023125,0.00875,0.00794921875,0.0008007812500000003,0.03544811606231951,28,74
44,post_processing,60.0,ALL,42,4200,3947,0.30952380952380953,0.024285714285714285,0.008333333333333333,0.007517006802721089,0.0008163265306122443,0.03445009043148739,35,102
44,post_processing,90.0,0,10,1000,987,0.2,0.004,0.001,0.0008,0.00019999999999999998,0.05020080321285142,1,4
44,post_processing,90.0,1,32,3200,3043,0.34375,0.0028125,0.00125,0.000966796875,0.00028320312500000003,0.10097844632473274,4,9
44,post_processing,90.0,ALL,42,4200,3947,0.30952380952380953,0.0030952380952380953,0.0011904761904761906,0.0009580498866213153,0.00023242630385487528,0.07532472304385368,5,13
45,none,30.0,0,7,700,699,0.14285714285714285,0.13142857142857142,0.02,0.018775510204081632,0.0012244897959183682,0.010726544622425643,14,92
45,none,30.0,1,35,3500,3327,0.22857142857142856,0.15285714285714286,0.03485714285714286,0.03493877551020408,-8.16326530612213e-05,-0.0006304077161904675,122,535
45,none,30.0,ALL,42,4200,3958,0.21428571428571427,0.1492857142857143,0.03238095238095238,0.03198979591836735,0.00039115646258502945,0.003079984519729989,136,627
45,none,45.0,0,7,700,699,0.14285714285714285,0.05285714285714286,0.007142857142857143,0.007551020408163266,-0.000408163265306123,-0.0081529493294199,5,37
45,none,45.0,1,35,3500,3327,0.22857142857142856,0.05028571428571429,0.011428571428571429,0.011493877551020408,-6.530612244897913e-05,-0.001367465266382234,40,176
45,none,45.0,ALL,42,4200,3958,0.21428571428571427,0.05071428571428571,0.010714285714285714,0.010867346938775509,-0.00015306122448979428,-0.003179346962133983,45,213
45,none,60.0,0,7,700,699,0.14285714285714285,0.02,0.002857142857142857,0.002857142857142857,0.0,0.0,2,14
45,none,60.0,1,35,3500,3327,0.22857142857142856,0.022,0.006,0.005028571428571428,0.0009714285714285719,0.04514912490372611,21,77
45,none,60.0,ALL,42,4200,3958,0.21428571428571427,0.021666666666666667,0.0054761904761904765,0.004642857142857143,0.0008333333333333335,0.03931332721792688,23,91
45,none,90.0,0,7,700,699,0.14285714285714285,0.002857142857142857,0.0,0.0004081632653061224,-0.0004081632653061224,-0.14326647564469913,0,2
45,none,90.0,1,35,3500,3327,0.22857142857142856,0.002285714285714286,0.0008571428571428571,0.0005224489795918368,0.0003346938775510203,0.14676403207331043,3,8
45,none,90.0,ALL,42,4200,3958,0.21428571428571427,0.002380952380952381,0.0007142857142857143,0.0005102040816326531,0.00020408163265306118,0.08591885441527444,3,10
45,reweighing,30.0,0,7,700,699,0.0,0.13142857142857142,0.0,0.0,0.0,0.0,0,92
45,reweighing,30.0,1,35,3500,3327,0.22857142857142856,0.15285714285714286,0.03314285714285714,0.03493877551020408,-0.001795918367346938,-0.013868969756189814,116,535
45,reweighing,30.0,ALL,42,4200,3958,0.19047619047619047,0.1492857142857143,0.02761904761904762,0.028435374149659864,-0.0008163265306122443,-0.006427793780306029,116,627
45,reweighing,45.0,0,7,700,699,0.0,0.05285714285714286,0.0,0.0,0.0,0.0,0,37
