seed,model_variant,threshold_min,delta_fnr_0_minus_1,delta_C_0_minus_1,delta_J_0_minus_1,delta_E_0_minus_1
63,post_processing,45.0,-0.2500000000000001,-0.012499999999999997,-0.0233333333333333,-0.0064583333333332
63,post_processing,60.0,-0.2500000000000001,0.005277777777777801,-0.009722222222222202,-0.0040046296296295
63,post_processing,90.0,-0.2500000000000001,-0.0005555555555554997,0.00027777777777779995,0.0013425925925925001
63,reweighing,30.0,0.0,-0.021944444444444378,-0.0077777777777776995,-0.0041203703703702
63,reweighing,45.0,0.0,-0.012499999999999997,-0.0066666666666667,-0.0045833333333332
63,reweighing,60.0,0.0,0.005277777777777801,-0.0013888888888888996,-0.0022685185185184
63,reweighing,90.0,0.0,-0.0005555555555554997,0.0008333333333333,0.000925925925926
64,none,30.0,0.12121212121212122,0.008686868686868604,0.021919191919191897,0.0021640648913376
64,none,45.0,0.12121212121212122,-0.0005050505050505014,0.006161616161616099,-6.121824303649982e-05
64,none,60.0,0.12121212121212122,-0.009494949494949499,-0.0026262626262626,-0.0023630241812060003
64,none,90.0,0.12121212121212122,-0.0024242424242424,-0.0006060606060606,-9.182736455463728e-05
64,post_processing,30.0,0.26262626262626265,0.008686868686868604,0.0365656565656566,-0.0038240995816752
64,post_processing,45.0,0.26262626262626265,-0.0005050505050505014,0.009898989898989902,-0.0037241097847157
64,post_processing,60.0,0.26262626262626265,-0.009494949494949499,-0.0012121212121212,-0.0032792572186511
64,post_processing,90.0,0.26262626262626265,-0.0024242424242424,-0.0006060606060606,-0.0001652892561983
64,reweighing,30.0,0.01010101010101011,0.008686868686868604,-0.0010101010101009993,-0.0043454749515354
64,reweighing,45.0,0.01010101010101011,-0.0005050505050505014,-0.0032323232323233,-0.0036526885011732998
64,reweighing,60.0,0.01010101010101011,-0.009494949494949499,-0.0037373737373737,-0.0018691970207122
64,reweighing,90.0,0.01010101010101011,-0.0024242424242424,-0.0006060606060606,-9.182736455463728e-05
65,none,30.0,0.18378378378378382,0.0028108108108108043,0.037675675675675695,0.009132797662527298
65,none,45.0,0.18378378378378382,-0.010054054054054004,0.0155675675675676,0.009654930606282
