model_variant,threshold_min,group,metric,mean,ci_low,ci_high,n_seeds
post_processing,45.0,ALL,E,-1.6628873771723247e-05,-0.0004617961073318039,0.00042914304610733463,30
post_processing,60.0,0,fnr,0.2020594220594221,0.15143938237688234,0.25256891025641026,30
post_processing,60.0,0,C,0.022301689051689038,0.02005272741147739,0.02442723214285711,30
post_processing,60.0,0,J,0.003975132275132261,0.002877506613756595,0.005113842592592579,30
post_processing,60.0,0,J_ind,0.004362881966341198,0.003224730638603306,0.00559594831203537,30
post_processing,60.0,0,E,-0.0003877496912089399,-0.0009949265352152182,0.00024358322734363585,30
post_processing,60.0,1,fnr,0.273668226912662,0.2337737808681713,0.314505441682426,30
post_processing,60.0,1,C,0.02225681292880566,0.02118422968848731,0.02338360649452171,30
post_processing,60.0,1,J,0.006134591761758904,0.0050927265748569525,0.007222631031767022,30
post_processing,60.0,1,J_ind,0.006095632420335694,0.0051240794957126655,0.007062496511451051,30
post_processing,60.0,1,E,3.8959341423200866e-05,-0.0003337735800052824,0.0004060456039821235,30
post_processing,60.0,ALL,fnr,0.25714285714285706,0.22380952380952376,0.28492063492063485,30
post_processing,60.0,ALL,C,0.02226984126984122,0.021253769841269785,0.023365277777777728,30
post_processing,60.0,ALL,J,0.005690476190476136,0.004824999999999952,0.006484126984126929,30
post_processing,60.0,ALL,J_ind,0.005744897959183612,0.00501756897203321,0.0064383692365834536,30
post_processing,60.0,ALL,E,-5.4421768707482555e-05,-0.0003874196900982416,0.0002834986772486732,30
post_processing,90.0,0,fnr,0.2020594220594221,0.15381140618640615,0.2510436507936508,30
post_processing,90.0,0,C,0.003090964590964577,0.0023027579365079206,0.004031630291005275,30
post_processing,90.0,0,J,0.0004226190476190433,0.00015266203703703595,0.0007412863756613725,30
post_processing,90.0,0,J_ind,0.0005661575819603734,0.00037317347597230023,0.0008023431048993691,30
post_processing,90.0,0,E,-0.00014353853434134005,-0.0004330679113288193,0.00017827466814123594,30
post_processing,90.0,1,fnr,0.273668226912662,0.23269692959514934,0.31583937859545874,30
post_processing,90.0,1,C,0.0036996012637819926,0.0032728959104742143,0.004178183912688862,30
post_processing,90.0,1,J,0.0009770309098562167,0.0008007808967175891,0.0011542196385544235,30
post_processing,90.0,1,J_ind,0.0010125186433294132,0.0008186533242686919,0.0012084181132622001,30
post_processing,90.0,1,E,-3.548773347319729e-05,-0.0001845642491512564,0.00010738201391164576,30
post_processing,90.0,ALL,fnr,0.25714285714285706,0.22458333333333327,0.2865079365079365,30
