seed,threshold_min,scenario,fnr,C,J,joint_event_count,n_geo_realizations,n_repaired_cases
58,60.0,S0,0.3333333333333333,0.021666666666666667,0.007857142857142858,33,4200,3
58,60.0,S1,0.2619047619047619,0.021666666666666667,0.006904761904761905,29,4200,3
58,60.0,S2,0.3333333333333333,0.005952380952380952,0.0019047619047619048,8,4200,3
58,60.0,S3,0.2619047619047619,0.005952380952380952,0.0011904761904761906,5,4200,3
59,30.0,S0,0.30952380952380953,0.1407142857142857,0.04452380952380952,187,4200,1
59,30.0,S1,0.2857142857142857,0.1407142857142857,0.03976190476190476,167,4200,1
59,30.0,S2,0.30952380952380953,0.06857142857142857,0.02261904761904762,95,4200,1
59,30.0,S3,0.2857142857142857,0.06857142857142857,0.020714285714285713,87,4200,1
59,60.0,S0,0.30952380952380953,0.019761904761904762,0.007142857142857143,30,4200,1
59,60.0,S1,0.2857142857142857,0.019761904761904762,0.006904761904761905,29,4200,1
59,60.0,S2,0.30952380952380953,0.007619047619047619,0.0033333333333333335,14,4200,1
59,60.0,S3,0.2857142857142857,0.007619047619047619,0.0030952380952380953,13,4200,1
60,30.0,S0,0.16666666666666666,0.1361904761904762,0.025238095238095237,106,4200,0
60,30.0,S1,0.16666666666666666,0.1361904761904762,0.025238095238095237,106,4200,0
60,30.0,S2,0.16666666666666666,0.06928571428571428,0.010952380952380953,46,4200,0
60,30.0,S3,0.16666666666666666,0.06928571428571428,0.010952380952380953,46,4200,0
60,60.0,S0,0.16666666666666666,0.020476190476190478,0.002857142857142857,12,4200,0
60,60.0,S1,0.16666666666666666,0.020476190476190478,0.002857142857142857,12,4200,0
60,60.0,S2,0.16666666666666666,0.006190476190476191,0.0007142857142857143,3,4200,0
60,60.0,S3,0.16666666666666666,0.006190476190476191,0.0007142857142857143,3,4200,0
61,30.0,S0,0.23809523809523808,0.14595238095238094,0.03428571428571429,144,4200,1
61,30.0,S1,0.21428571428571427,0.14595238095238094,0.02976190476190476,125,4200,1
61,30.0,S2,0.23809523809523808,0.07761904761904762,0.019523809523809523,82,4200,1
61,30.0,S3,0.21428571428571427,0.07761904761904762,0.017142857142857144,72,4200,1
61,60.0,S0,0.23809523809523808,0.025238095238095237,0.006190476190476191,26,4200,1
61,60.0,S1,0.21428571428571427,0.025238095238095237,0.005238095238095238,22,4200,1
61,60.0,S2,0.23809523809523808,0.008333333333333333,0.002142857142857143,9,4200,1
61,60.0,S3,0.21428571428571427,0.008333333333333333,0.0019047619047619048,8,4200,1
62,30.0,S0,0.16666666666666666,0.14285714285714285,0.02142857142857143,90,4200,0
62,30.0,S1,0.16666666666666666,0.14285714285714285,0.02142857142857143,90,4200,0
62,30.0,S2,0.16666666666666666,0.06523809523809523,0.009285714285714286,39,4200,0
62,30.0,S3,0.16666666666666666,0.06523809523809523,0.009285714285714286,39,4200,0
62,60.0,S0,0.16666666666666666,0.02261904761904762,0.0038095238095238095,16,4200,0
62,60.0,S1,0.16666666666666666,0.02261904761904762,0.0038095238095238095,16,4200,0
62,60.0,S2,0.16666666666666666,0.005952380952380952,0.0009523809523809524,4,4200,0
62,60.0,S3,0.16666666666666666,0.005952380952380952,0.0009523809523809524,4,4200,0
63,30.0,S0,0.16666666666666666,0.1538095238095238,0.02666666666666667,112,4200,0
63,30.0,S1,0.16666666666666666,0.1538095238095238,0.02666666666666667,112,4200,0
63,30.0,S2,0.16666666666666666,0.07904761904761905,0.013333333333333334,56,4200,0
63,30.0,S3,0.16666666666666666,0.07904761904761905,0.013333333333333334,56,4200,0
63,60.0,S0,0.16666666666666666,0.027142857142857142,0.004523809523809524,19,4200,0
63,60.0,S1,0.16666666666666666,0.027142857142857142,0.004523809523809524,19,4200,0
63,60.0,S2,0.16666666666666666,0.0064285714285714285,0.0014285714285714286,6,4200,0
63,60.0,S3,0.16666666666666666,0.0064285714285714285,0.0014285714285714286,6,4200,0
64,30.0,S0,0.23809523809523808,0.14095238095238094,0.035,147,4200,1
64,30.0,S1,0.21428571428571427,0.14095238095238094,0.030476190476190476,128,4200,1
64,30.0,S2,0.23809523809523808,0.06928571428571428,0.018095238095238095,76,4200,1
64,30.0,S3,0.21428571428571427,0.06928571428571428,0.015952380952380954,67,4200,1
64,60.0,S0,0.23809523809523808,0.021904761904761906,0.004285714285714286,18,4200,1
64,60.0,S1,0.21428571428571427,0.021904761904761906,0.004047619047619047,17,4200,1
64,60.0,S2,0.23809523809523808,0.007142857142857143,0.0016666666666666668,7,4200,1
64,60.0,S3,0.21428571428571427,0.007142857142857143,0.0016666666666666668,7,4200,1
65,30.0,S0,0.23809523809523808,0.14952380952380953,0.03880952380952381,163,4200,1
65,30.0,S1,0.21428571428571427,0.14952380952380953,0.03380952380952381,142,4200,1
65,30.0,S2,0.23809523809523808,0.07238095238095238,0.02,84,4200,1
